code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country
1544894,TRUE,MOHSEN NEJAD Mehdi,MOHSEN NEJAD M,Mehdi MOHSEN NEJAD,Male,Athlete,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,IRI,0,0,['Wrestling'],"[""Men's Greco-Roman 60kg""]",09-Dec-1998,BEHBAHAN,IR Iran,Unknown,IR Iran
1544897,TRUE,SARAVI Mohammadhadi,SARAVI M,Mohammadhadi SARAVI,Male,Athlete,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,IRI,0,0,['Wrestling'],"[""Men's Greco-Roman 97kg""]",06-Jan-1998,Unknown,IR Iran,AMOL,IR Iran
1544908,TRUE,BENFERDJALLAH Fateh,BENFERDJALLAH F,Fateh BENFERDJALLAH,Male,Athlete,ALG,Algeria,Algeria,Algeria,Algeria,ALG,0,0,['Wrestling'],"[""Men's Freestyle 86kg""]",15-Apr-2001,Unknown,Unknown,Unknown,Algeria
1544917,TRUE,DOUDOU Ibtissem,DOUDOU I,Ibtissem DOUDOU,Female,Athlete,ALG,Algeria,Algeria,Algeria,Algeria,ALG,0,0,['Wrestling'],"[""Women's Freestyle 50kg""]",20-Nov-1999,Unknown,Unknown,Unknown,Unknown
1544928,TRUE,ESMAEILI LEIVESI Saeid,ESMAEILI LEIVESI S,Saeid ESMAEILI LEIVESI,Male,Athlete,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,IRI,0,0,['Wrestling'],"[""Men's Greco-Roman 67kg""]",15-Jul-2003,Unknown,Unknown,Unknown,Unknown
1544936,TRUE,AOUISSI Chaimaa Fouzia,AOUISSI CF,Chaimaa Fouzia AOUISSI,Female,Athlete,ALG,Algeria,Algeria,Algeria,Algeria,ALG,0,0,['Wrestling'],"[""Women's Freestyle 57kg""]",18-Jun-1997,Unknown,Unknown,Unknown,Unknown
1545015,TRUE,KHALMATOV Dilshot,KHALMATOV D,Dilshot KHALMATOV,Male,Athlete,UKR,Ukraine,Ukraine,Ukraine,Ukraine,UKR,0,0,['Judo'],['Men -60 kg'],07-Mar-1998,KIYV,Ukraine,KIYV,Ukraine
1545017,TRUE,IADOV Bogdan,IADOV B,Bogdan IADOV,Male,Athlete,UKR,Ukraine,Ukraine,Ukraine,Ukraine,UKR,0,0,['Judo'],['Men -66 kg'],27-Nov-1996,KRYVYI RIH,Ukraine,KYIV,Ukraine
1545022,TRUE,BILODID Daria,BILODID D,Daria BILODID,Female,Athlete,UKR,Ukraine,Ukraine,Ukraine,Ukraine,UKR,0,0,['Judo'],['Women -57 kg'],10-Oct-2000,KYIV,Ukraine,KYIV,Ukraine
1545023,TRUE,LYTVYNENKO Yelyzaveta,LYTVYNENKO Y,Yelyzaveta LYTVYNENKO,Female,Athlete,UKR,Ukraine,Ukraine,Ukraine,Ukraine,UKR,0,0,['Judo'],['Women -78 kg'],11-Feb-2004,ORDZONIKIDZE,Ukraine,DNIPRO,Ukraine
1545058,TRUE,NGUYEN Huy Hoang,NGUYEN HH,Huy Hoang NGUYEN,Male,Athlete,VIE,Vietnam,Vietnam,Vietnam,Vietnam,VIE,0,0,['Swimming'],"[""Men's 1500m Freestyle"", ""Men's 800m Freestyle""]",10-Jul-2000,QUANG BINH,Vietnam,Unknown,Vietnam
